#,Name,Type 1,Type 2,Level,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
91,Cloyster,Water,Ice,100,525,50,95,180,85,45,70,1
92,Gastly,Ghost,Poison,4,310,30,35,30,100,35,80,1
93,Haunter,Ghost,Poison,41,405,45,50,45,115,55,95,1
94,Gengar,Ghost,Poison,98,500,60,65,60,130,75,110,1
95,Onix,Rock,Ground,50,385,35,45,160,30,45,70,1
96,Drowzee,Psychic,  ,10,328,60,48,45,43,90,42,1
97,Hypno,Psychic,  ,67,483,85,73,70,73,115,67,1
98,Krabby,Water,  ,31,325,30,105,90,25,25,50,1
99,Kingler,Water,  ,89,475,55,130,115,50,50,75,1
100,Voltorb,Electric,  ,10,330,40,30,50,55,55,100,1
101,Electrode,Electric,  ,100,480,60,50,70,80,80,140,1
102,Exeggcute,Grass,Psychic,12,325,60,40,80,60,45,40,1
103,Exeggutor,Grass,Psychic,12,520,95,95,85,125,65,55,1
104,Cubone,Ground,  ,2,320,50,50,95,40,50,35,1
105,Marowak,Ground,,78,425,60,80,110,50,80,45,1
106,Hitmonlee,Fighting,  ,84,455,50,120,53,35,110,87,1
107,Hitmonchan,Fighting,  ,54,455,50,105,79,35,110,76,1
108,Lickitung,Normal,  ,34,385,90,55,75,60,75,30,1
109,Koffing,Poison,  ,15,340,40,65,95,60,45,35,1
110,Weezing,Poison,  ,47,490,65,90,120,85,70,60,1
111,Rhyhorn,Ground,Rock,32,345,80,85,95,30,30,25,1
112,Rhydon,Ground,Rock,87,485,105,130,120,45,45,40,1
113,Chansey,Normal,  ,85,450,250,5,5,35,105,50,1
114,Tangela,Grass,  ,64,435,65,55,115,100,40,60,1
115,Kangaskhan,Normal,,35,490,105,95,80,40,80,90,1
116,Horsea,Water,  ,17,295,30,40,70,70,25,60,1
117,Seadra,Water,  ,50,440,55,65,95,95,45,85,1
118,Goldeen,Water,  ,14,320,45,67,60,35,50,63,1
119,Seaking,Water,  ,61,450,80,92,65,65,80,68,1
120,Staryu,Water,  ,40,340,30,45,55,70,55,85,1
121,Starmie,Water,Psychic,48,520,60,75,85,100,85,115,1
122,Mr. Mime,Psychic,Fairy,54,460,40,45,65,100,120,90,1
123,Scyther,Bug,Flying,43,500,70,110,80,55,80,105,1
124,Jynx,Ice,Psychic,57,455,65,50,35,115,95,95,1
125,Electabuzz,Electric,,61,490,65,83,57,95,85,105,1
126,Magmar,Fire,  ,24,495,65,95,57,100,85,93,1
127,Pinsir,Bug,  ,35,500,65,125,100,55,70,85,1
128,Tauros,Normal,  ,64,490,75,100,95,40,70,110,1
129,Magikarp,Water,  ,99,200,20,10,55,15,20,80,1
130,Gyarados,Water,Flying,100,540,95,125,79,60,100,81,1
131,Lapras,Water,Ice,76,535,130,85,80,85,95,60,1
132,Ditto,Normal,  ,15,288,48,48,48,48,48,48,1
133,Eevee,Normal,  ,25,325,55,55,50,45,65,55,1
134,Vaporeon,Water,  ,16,525,130,65,60,110,95,65,1
135,Jolteon,Electric,,38,525,65,65,60,110,95,130,1
136,Flareon,Fire,  ,65,525,65,130,60,95,110,65,1
137,Porygon,Normal,  ,40,395,65,60,70,85,75,40,1
138,Omanyte,Rock,Water,25,355,35,40,100,90,55,35,1
139,Omastar,Rock,Water,64,495,70,60,125,115,70,55,1
140,Kabuto,Rock,Water,32,355,30,80,90,55,45,55,1
141,Kabutops,Rock,Water,68,495,60,115,105,65,70,80,1
142,Aerodactyl,Rock,Flying,97,515,80,105,65,60,75,130,1
143,Snorlax,Normal,  ,100,540,160,110,65,65,110,30,1
144,Articuno,Ice,Flying,100,580,90,85,100,95,125,85,1
145,Zapdos,Electric,Flying,100,580,90,90,85,125,90,100,1
146,Moltres,Fire,Flying,100,580,90,100,90,125,85,90,1
147,Dratini,Dragon,  ,25,300,41,64,45,50,50,50,1
148,Dragonair,Dragon,  ,40,420,61,84,65,70,70,70,1
149,Dragonite,Dragon,Flying,98,600,91,134,95,100,100,80,1
150,Mewtwo,Psychic,  ,100,680,106,110,90,154,90,130,1
151,Mew,Psychic,  ,100,600,100,100,100,100,100,100,1
152,Chikorita,Grass,  ,5,318,45,49,65,49,65,45,2
153,Bayleef,Grass,  ,16,405,60,62,80,63,80,60,2
154,Meganium,Grass,  ,36,525,80,82,100,83,100,80,2
155,Cyndaquil,Fire,  ,5,309,39,52,43,60,50,65,2
156,Quilava,Fire,  ,18,405,58,64,58,80,65,80,2
157,Typhlosion,Fire,  ,37,534,78,84,78,109,85,100,2
158,Totodile,Water,  ,5,314,50,65,64,44,48,43,2
159,Croconaw,Water,  ,20,405,65,80,80,59,63,58,2
160,Feraligatr,Water,  ,67,530,85,105,100,79,83,78,2
161,Sentret,Normal,  ,5,215,35,46,34,35,45,20,2
162,Furret,Normal,  ,64,415,85,76,64,45,55,90,2
163,Hoothoot,Normal,Flying,8,262,60,30,30,36,56,50,2
164,Noctowl,Normal,Flying,65,442,100,50,50,76,96,70,2
165,Ledyba,Bug,Flying,5,265,40,20,30,40,80,55,2
166,Ledian,Bug,Flying,88,390,55,35,50,55,110,85,2
167,Spinarak,Bug,Poison,21,250,40,60,40,40,40,30,2
168,Ariados,Bug,Poison,40,390,70,90,70,60,60,40,2
169,Crobat,Poison,Flying,88,535,85,90,80,70,80,130,2
170,Chinchou,Water,Electric,22,330,75,38,38,56,56,67,2
171,Lanturn,Water,Electric,77,460,125,58,58,76,76,67,2
172,Pichu,Electric,  ,2,205,20,40,15,35,35,60,2
173,Cleffa,Fairy,  ,3,218,50,25,28,45,55,15,2
174,Igglybuff,Normal,Fairy,7,210,90,30,15,40,20,15,2
175,Togepi,Fairy,  ,10,245,35,20,65,40,65,20,2
176,Togetic,Fairy,Flying,18,405,55,40,85,80,105,40,2
177,Natu,Psychic,Flying,9,320,40,50,45,70,45,70,2
178,Xatu,Psychic,Flying,84,470,65,75,70,95,70,95,2
179,Mareep,Electric,  ,12,280,55,40,40,65,45,35,2
180,Flaaffy,Electric,  ,25,365,70,55,55,80,60,45,2
181,Ampharos,Electric,  ,68,510,90,75,85,115,90,55,2
182,Bellossom,Grass,  ,70,490,75,80,95,90,100,50,2
183,Marill,Water,Fairy,5,250,70,20,50,20,50,40,2
184,Azumarill,Water,Fairy,36,420,100,50,80,60,80,50,2
185,Sudowoodo,Rock,  ,5,410,70,100,115,30,65,30,2
186,Politoed,Water,  ,50,500,90,75,75,90,100,70,2
187,Hoppip,Grass,Flying,3,250,35,35,40,35,55,50,2
188,Skiploom,Grass,Flying,30,340,55,45,50,45,65,80,2
189,Jumpluff,Grass,Flying,45,460,75,55,70,55,95,110,2
190,Aipom,Normal,  ,5,360,55,70,55,40,55,85,2
191,Sunkern,Grass,  ,7,180,30,30,30,30,30,30,2
192,Sunflora,Grass,  ,80,425,75,75,55,105,85,30,2
193,Yanma,Bug,Flying,35,390,65,65,45,75,45,95,2
194,Wooper,Water,Ground,16,210,55,45,45,25,25,15,2
195,Quagsire,Water,Ground,81,430,95,85,85,65,65,35,2
196,Espeon,Psychic,  ,74,525,65,65,60,130,95,110,2
197,Umbreon,Dark,  ,76,525,95,65,110,60,130,65,2
198,Murkrow,Dark,Flying,15,405,60,85,42,85,42,91,2
199,Slowking,Water,Psychic,84,490,95,75,80,100,110,30,2
200,Misdreavus,Ghost,  ,54,435,60,60,60,85,85,85,2
201,Unown,Psychic,,35,336,48,72,48,72,48,48,2
202,Wobbuffet,Psychic,  ,76,405,190,33,58,33,58,33,2
203,Girafarig,Normal,Psychic,65,455,70,80,65,90,65,85,2
204,Pineco,Bug,  ,5,290,50,65,90,35,35,15,2
205,Forretress,Bug,Steel,45,465,75,90,140,60,60,40,2
206,Dunsparce,Normal,  ,19,415,100,70,70,65,65,45,2
207,Gligar,Ground,Flying,68,430,65,75,105,35,65,85,2
208,Steelix,Steel,Ground,100,510,75,85,200,55,65,30,2
209,Snubbull,Fairy,  ,32,300,60,80,50,40,40,30,2
210,Granbull,Fairy,  ,83,450,90,120,75,60,60,45,2
211,Qwilfish,Water,Poison,68,430,65,95,75,55,55,85,2
212,Scizor,Bug,Steel,94,500,70,130,100,55,80,65,2
213,Shuckle,Bug,Rock,35,505,20,10,230,10,230,5,2
214,Heracross,Bug,Fighting,66,500,80,125,75,40,95,85,2
215,Sneasel,Dark,Ice,64,430,55,95,55,35,75,115,2
216,Teddiursa,Normal,  ,3,330,60,80,50,50,50,40,2
217,Ursaring,Normal,  ,97,500,90,130,75,75,75,55,2
218,Slugma,Fire,  ,21,250,40,40,40,70,40,20,2
219,Magcargo,Fire,Rock,49,410,50,50,120,80,80,30,2
220,Swinub,Ice,Ground,12,250,50,50,40,30,30,50,2
221,Piloswine,Ice,Ground,70,450,100,100,80,60,60,50,2
222,Corsola,Water,Rock,65,380,55,55,85,65,85,35,2
223,Remoraid,Water,  ,10,300,35,65,35,65,35,65,2
224,Octillery,Water,  ,55,480,75,105,75,105,75,45,2
225,Delibird,Ice,Flying,65,330,45,55,45,65,45,75,2
226,Mantine,Water,Flying,37,465,65,40,70,80,140,70,2
227,Skarmory,Steel,Flying,18,465,65,80,140,40,70,70,2
228,Houndour,Dark,Fire,21,330,45,60,30,80,50,65,2
229,Houndoom,Dark,Fire,79,500,75,90,50,110,80,95,2
230,Kingdra,Water,Dragon,85,540,75,95,95,95,95,85,2
231,Phanpy,Ground,  ,4,330,90,60,60,40,40,40,2
232,Donphan,Ground,  ,55,500,90,120,120,60,60,50,2
233,Porygon2,Normal,  ,66,515,85,80,90,105,95,60,2
234,Stantler,Normal,  ,40,465,73,95,62,85,65,85,2
235,Smeargle,Normal,  ,19,250,55,20,35,20,45,75,2
236,Tyrogue,Fighting,  ,18,210,35,35,35,35,35,35,2
237,Hitmontop,Fighting,  ,58,455,50,95,95,35,110,70,2
238,Smoochum,Ice,Psychic,1,305,45,30,15,85,65,65,2
239,Elekid,Electric,  ,8,360,45,63,37,65,55,95,2
240,Magby,Fire,  ,10,365,45,75,37,70,55,83,2
241,Miltank,Normal,  ,74,490,95,80,105,40,70,100,2
242,Blissey,Normal,  ,100,540,255,10,10,75,135,55,2
243,Raikou,Electric,  ,100,580,90,85,75,115,100,115,2
244,Entei,Fire,  ,99,580,115,115,85,90,75,100,2
245,Suicune,Water,  ,97,580,100,75,115,90,115,85,2
246,Larvitar,Rock,Ground,10,300,50,64,50,45,50,41,2
247,Pupitar,Rock,Ground,40,410,70,84,70,65,70,51,2
248,Tyranitar,Rock,Dark,59,600,100,134,110,95,100,61,2
249,Lugia,Psychic,Flying,100,680,106,90,130,90,154,110,2
250,Ho-oh,Fire,Flying,100,680,106,130,90,110,154,90,2
251,Celebi,Psychic,Grass,55,600,100,100,100,100,100,100,2
252,Treecko,Grass,  ,5,310,40,45,35,65,55,70,3
253,Grovyle,Grass,  ,16,405,50,65,45,85,65,95,3
254,Sceptile,Grass,  ,36,530,70,85,65,105,85,120,3
255,Torchic,Fire,  ,5,310,45,60,40,70,50,45,3
256,Combusken,Fire,Fighting,16,405,60,85,60,85,60,55,3
257,Blaziken,Fire,Fighting,36,530,80,120,70,110,70,80,3
258,Mudkip,Water,  ,5,310,50,70,50,50,50,40,3
259,Marshtomp,Water,Ground,16,405,70,85,70,60,70,50,3
260,Swampert,Water,Ground,36,535,100,110,90,85,90,60,3
261,Poochyena,Dark,  ,7,220,35,55,35,30,30,35,3
262,Mightyena,Dark,  ,40,420,70,90,70,60,60,70,3
263,Zigzagoon,Normal,,6,240,38,30,41,30,41,60,3
264,Linoone,Normal,  ,50,420,78,70,61,50,61,100,3
265,Wurmple,Bug,  ,2,195,45,45,35,20,30,20,3
266,Silcoon,Bug,  ,7,205,50,35,55,25,25,15,3
267,Beautifly,Bug,Flying,15,395,60,70,50,100,50,65,3
268,Cascoon,Bug,  ,8,205,50,35,55,25,25,15,3
269,Dustox,Bug,Poison,20,385,60,50,70,50,90,65,3
270,Lotad,Water,Grass,5,220,40,30,30,40,50,30,3
271,Lombre,Water,Grass,18,340,60,50,50,60,70,50,3
272,Ludicolo,Water,Grass,57,480,80,70,70,90,100,70,3
273,Seedot,Grass,  ,3,220,40,40,50,30,30,30,3
274,Nuzleaf,Grass,Dark,20,340,70,70,40,60,40,60,3
275,Shiftry,Grass,Dark,39,480,90,100,60,90,60,80,3
276,Taillow,Normal,Flying,7,270,40,55,30,30,30,85,3
277,Swellow,Normal,Flying,81,430,60,85,60,50,50,125,3
278,Wingull,Water,Flying,4,270,40,30,30,55,30,85,3
279,Pelipper,Water,Flying,44,430,60,50,100,85,70,65,3
280,Ralts,Psychic,Fairy,5,198,28,25,25,45,35,40,3
281,Kirlia,Psychic,Fairy,22,278,38,35,35,65,55,50,3
282,Gardevoir,Psychic,Fairy,80,518,68,65,65,125,115,80,3
283,Surskit,Bug,Water,4,269,40,30,32,50,52,65,3
284,Masquerain,Bug,Flying,51,414,70,60,62,80,82,60,3
285,Shroomish,Grass,  ,6,295,60,40,60,40,60,35,3
286,Breloom,Grass,Fighting,82,460,60,130,80,60,60,70,3
287,Slakoth,Normal,  ,4,280,60,60,60,35,35,30,3
288,Vigoroth,Normal,  ,30,440,80,80,80,55,55,90,3
289,Slaking,Normal,  ,90,670,150,160,100,95,65,100,3
290,Nincada,Bug,Ground,5,266,31,45,90,30,30,40,3
291,Ninjask,Bug,Flying,40,456,61,90,45,50,50,160,3
292,Shedinja,Bug,Ghost,60,236,1,90,45,30,30,40,3
293,Whismur,Normal,  ,7,240,64,51,23,51,23,28,3
294,Loudred,Normal,  ,31,360,84,71,43,71,43,48,3
295,Exploud,Normal,  ,44,490,104,91,63,91,73,68,3
296,Makuhita,Fighting,  ,5,237,72,60,30,20,30,25,3
297,Hariyama,Fighting,  ,47,474,144,120,60,40,60,50,3
298,Azurill,Normal,Fairy,64,190,50,20,40,20,40,20,3
299,Nosepass,Rock,  ,80,375,30,45,135,45,90,30,3
300,Skitty,Normal,  ,20,260,50,45,45,35,35,50,3
301,Delcatty,Normal,  ,41,380,70,65,65,55,55,70,3
302,Sableye,Dark,Ghost,68,380,50,75,75,65,65,50,3
303,Mawile,Steel,Fairy,50,380,50,85,85,55,55,50,3
304,Aron,Steel,Rock,17,330,50,70,100,40,40,30,3
305,Lairon,Steel,Rock,35,430,60,90,140,50,50,40,3
306,Aggron,Steel,Rock,61,530,70,110,180,60,60,50,3
307,Meditite,Fighting,Psychic,12,280,30,40,55,40,55,60,3
308,Medicham,Fighting,Psychic,43,410,60,60,75,60,75,80,3
309,Electrike,Electric,  ,15,295,40,45,40,65,40,65,3
310,Manectric,Electric,  ,64,475,70,75,60,105,60,105,3
311,Plusle,Electric,  ,6,405,60,50,40,85,75,95,3
312,Minun,Electric,  ,8,405,60,40,50,75,85,95,3
313,Volbeat,Bug,  ,18,400,65,73,55,47,75,85,3
314,Illumise,Bug,  ,16,400,65,47,55,73,75,85,3
315,Roselia,Grass,Poison,88,400,50,60,45,100,80,65,3
316,Gulpin,Poison,  ,21,302,70,43,53,43,53,40,3
317,Swalot,Poison,  ,70,467,100,73,83,73,83,55,3
318,Carvanha,Water,Dark,15,305,45,90,20,65,20,65,3
319,Sharpedo,Water,Dark,39,460,70,120,40,95,40,95,3
320,Wailmer,Water,  ,20,400,130,70,35,70,35,60,3
321,Wailord,Water,  ,46,500,170,90,45,90,45,60,3
322,Numel,Fire,Ground,13,305,60,60,40,65,45,35,3
323,Camerupt,Fire,Ground,80,460,70,100,70,105,75,40,3
324,Torkoal,Fire,  ,70,470,70,85,140,85,70,20,3
325,Spoink,Psychic,  ,20,330,60,25,35,70,80,60,3
326,Grumpig,Psychic,  ,96,470,80,45,65,90,110,80,3
327,Spinda,Normal,  ,5,360,60,60,60,60,60,60,3
328,Trapinch,Ground,  ,10,290,45,100,45,45,45,10,3
329,Vibrava,Ground,Dragon,40,340,50,70,50,50,50,70,3
330,Flygon,Ground,Dragon,69,520,80,100,80,80,80,100,3
331,Cacnea,Grass,  ,2,335,50,85,40,85,40,35,3
332,Cacturne,Grass,Dark,38,475,70,115,60,115,60,55,3
333,Swablu,Normal,Flying,5,310,45,40,60,40,75,50,3
334,Altaria,Dragon,Flying,61,490,75,70,90,70,105,80,3
335,Zangoose,Normal,  ,48,458,73,115,60,60,60,90,3
336,Seviper,Poison,  ,16,458,73,100,60,100,60,65,3
337,Lunatone,Rock,Psychic,35,440,70,55,65,95,85,70,3
338,Solrock,Rock,Psychic,51,440,70,95,85,55,65,70,3
339,Barboach,Water,Ground,10,288,50,48,43,46,41,60,3
340,Whiscash,Water,Ground,60,468,110,78,73,76,71,60,3
341,Corphish,Water,  ,30,308,43,80,65,50,35,35,3
342,Crawdaunt,Water,Dark,87,468,63,120,85,90,55,55,3
343,Baltoy,Ground,Psychic,30,300,40,40,55,40,70,55,3
344,Claydol,Ground,Psychic,92,500,60,70,105,70,120,75,3
345,Lileep,Rock,Grass,20,355,66,41,77,61,87,23,3
346,Cradily,Rock,Grass,80,495,86,81,97,81,107,43,3
347,Anorith,Rock,Bug,30,355,45,95,50,40,50,75,3
348,Armaldo,Rock,Bug,98,495,75,125,100,70,80,45,3
349,Feebas,Water,  ,20,200,20,15,20,10,55,80,3
350,Milotic,Water,  ,90,540,95,60,79,100,125,81,3
351,Castform,Normal,  ,30,420,70,70,70,70,70,70,3
352,Kecleon,Normal,  ,69,440,60,90,70,60,120,40,3
353,Shuppet,Ghost,  ,5,295,44,75,35,63,33,45,3
354,Banette,Ghost,  ,54,455,64,115,65,83,63,65,3
355,Duskull,Ghost,  ,17,295,20,40,90,30,90,25,3
356,Dusclops,Ghost,  ,59,455,40,70,130,60,130,25,3
357,Tropius,Grass,Flying,38,460,99,68,83,72,87,51,3
358,Chimecho,Psychic,  ,60,425,65,50,70,95,80,65,3
359,Absol,Dark,  ,38,465,65,130,60,75,60,75,3
360,Wynaut,Psychic,  ,4,260,95,23,48,23,48,23,3
361,Snorunt,Ice,  ,28,300,50,50,50,50,50,50,3
362,Glalie,Ice,  ,60,480,80,80,80,80,80,80,3
363,Spheal,Ice,Water,20,290,70,40,50,55,50,25,3
364,Sealeo,Ice,Water,39,410,90,60,70,75,70,45,3
365,Walrein,Ice,Water,90,530,110,80,90,95,90,65,3
366,Clamperl,Water,  ,28,345,35,64,85,74,55,32,3
367,Huntail,Water,  ,68,485,55,104,105,94,75,52,3
368,Gorebyss,Water,  ,58,485,55,84,105,114,75,52,3
369,Relicanth,Water,Rock,40,485,100,90,130,45,65,55,3
370,Luvdisc,Water,  ,27,330,43,30,55,40,65,97,3
371,Bagon,Dragon,  ,22,300,45,75,60,40,30,50,3
372,Shelgon,Dragon,  ,35,420,65,95,100,60,50,50,3
373,Salamence,Dragon,Flying,59,600,95,135,80,110,80,100,3
374,Beldum,Steel,Psychic,5,300,40,55,80,35,60,30,3
375,Metang,Steel,Psychic,48,420,60,75,100,55,80,50,3
376,Metagross,Steel,Psychic,55,600,80,135,130,95,90,70,3
377,Regirock,Rock,  ,65,580,80,100,200,50,100,50,3
378,Regice,Ice,  ,55,580,80,50,100,100,200,50,3
379,Registeel,Steel,  ,50,580,80,75,150,75,150,50,3
380,Latias,Dragon,Psychic,40,600,80,80,90,110,130,110,3
381,Latios,Dragon,Psychic,44,600,80,90,80,130,110,110,3
382,Kyogre,Water,  ,88,670,100,100,90,150,140,90,3
383,Groudon,Ground,  ,90,670,100,150,140,100,90,90,3
384,Rayquaza,Dragon,Flying,88,680,105,150,90,150,90,95,3
385,Jirachi,Steel,Psychic,5,600,100,100,100,100,100,100,3
386,Deoxys,Psychic,  ,100,600,50,150,50,150,50,150,3
